,objectIsPart,objectPresence,objectcounts,objectnames,proportionClassIsPart,wordnet_found,wordnet_level1,wordnet_synset,wordnet_hypernym,wordnet_gloss,wordnet_synonyms,wordnet_frequency
790,[0. 0. 0. ... 0. 0. 0.],[ 0.  0. 25. ...  0.  0.  0.],246.0,['drawing'],0.0121951215,1,['drawing'],"['drawing. artwork, art, graphics, nontextual matter. visual communication. communication. abstraction, abstract entity. entity. ']","[[array(['drawing'], dtype='<U7')]
 [array(['artwork, art, graphics, nontextual matter'], dtype='<U41')]
 [array(['visual communication'], dtype='<U20')]
 [array(['communication'], dtype='<U13')]
 [array(['abstraction, abstract entity'], dtype='<U28')]
 [array(['entity'], dtype='<U6')]]","['an illustration that is drawn by hand and published in a book, magazine, or newspaper; ""it is shown by the drawing in Fig. 7""']",['drawing'],7
791,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],2.0,['drawing board'],0.0,0,[],[],[],[],[],0
792,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],4.0,['drawing table'],0.0,0,[],[],[],[],[],0
793,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],2.0,['drawing tables'],0.0,0,[],[],[],[],[],0
794,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],3.0,['drawings'],0.0,0,[],[],[],[],[],0
795,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],0.0,"['dress, frock']",0.0,1,"['dress, frock']","[""dress, frock. woman's clothing. clothing, article of clothing, vesture, wear, wearable, habiliment. covering. artifact, artefact. whole, unit. object, physical object. physical entity. entity. ""]","[[array(['dress, frock'], dtype='<U12')]
 [array([""woman's clothing""], dtype='<U16')]
 [array(['clothing, article of clothing, vesture, wear, wearable, habiliment'],
      dtype='<U66')]
 [array(['covering'], dtype='<U8')]
 [array(['artifact, artefact'], dtype='<U18')]
 [array(['whole, unit'], dtype='<U11')]
 [array(['object, physical object'], dtype='<U23')]
 [array(['physical entity'], dtype='<U15')]
 [array(['entity'], dtype='<U6')]]",['a one-piece garment for a woman; has skirt and bodice'],"['dress, frock']",15
796,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],0.0,['dresses'],0.0,1,"['apparel, wearing apparel, dress, clothes']","['apparel, wearing apparel, dress, clothes. clothing, article of clothing, vesture, wear, wearable, habiliment. covering. artifact, artefact. whole, unit. object, physical object. physical entity. entity. ']","[[array(['apparel, wearing apparel, dress, clothes'], dtype='<U40')]
 [array(['clothing, article of clothing, vesture, wear, wearable, habiliment'],
      dtype='<U66')]
 [array(['covering'], dtype='<U8')]
 [array(['artifact, artefact'], dtype='<U18')]
 [array(['whole, unit'], dtype='<U11')]
 [array(['object, physical object'], dtype='<U23')]
 [array(['physical entity'], dtype='<U15')]
 [array(['entity'], dtype='<U6')]]","['clothing in general; ""she was refined in her choice of apparel""; ""he always bought his clothes at the same store""; ""fastidious about his dress""']","['apparel, wearing apparel, dress, clothes']",0
797,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],3.0,['dressing screen'],0.0,0,[],[],[],[],[],0
798,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],6.0,['dressing table'],0.0,0,[],[],[],[],[],0
799,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],6.0,['dried herbs'],0.0,0,[],[],[],[],[],0
800,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],7.0,['drift ice'],0.0,0,[],[],[],[],[],0
801,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],5.0,['drill'],0.0,0,[],[],[],[],[],0
802,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],1.0,['drill rig'],0.0,0,[],[],[],[],[],0
803,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],1.0,['drilling equipment'],0.0,0,[],[],[],[],[],0
804,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],4.0,['drinking fountain'],0.0,0,[],[],[],[],[],0
805,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],5.0,['driveway'],0.0,0,[],[],[],[],[],0
806,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],2.0,['dropper'],0.0,0,[],[],[],[],[],0
807,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],0.0,['dropper bottle'],0.0,1,['bottle'],"['bottle. vessel. container. instrumentality, instrumentation. artifact, artefact. whole, unit. object, physical object. physical entity. entity. ']","[[array(['bottle'], dtype='<U6')]
 [array(['vessel'], dtype='<U6')]
 [array(['container'], dtype='<U9')]
 [array(['instrumentality, instrumentation'], dtype='<U32')]
 [array(['artifact, artefact'], dtype='<U18')]
 [array(['whole, unit'], dtype='<U11')]
 [array(['object, physical object'], dtype='<U23')]
 [array(['physical entity'], dtype='<U15')]
 [array(['entity'], dtype='<U6')]]",['a glass or plastic vessel used for storing drinks or other liquids; typically cylindrical without handles and with a narrow neck that can be plugged or capped'],['bottle'],28
808,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],6.0,['drum'],0.0,0,[],[],[],[],[],0
809,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],8.0,['drums'],0.0,0,[],[],[],[],[],0
810,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],1.0,['dry dock'],0.0,0,[],[],[],[],[],0
811,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],2.0,['dryer'],0.0,0,[],[],[],[],[],0
812,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],37.0,['duck'],0.0,1,['duck'],"['duck. anseriform bird. waterfowl, water bird, waterbird. aquatic bird. bird. vertebrate, craniate. chordate. animal, animate being, beast, brute, creature, fauna. organism, being. living thing, animate thing. whole, unit. object, physical object. physical entity. entity. ']","[[array(['duck'], dtype='<U4')]
 [array(['anseriform bird'], dtype='<U15')]
 [array(['waterfowl, water bird, waterbird'], dtype='<U32')]
 [array(['aquatic bird'], dtype='<U12')]
 [array(['bird'], dtype='<U4')]
 [array(['vertebrate, craniate'], dtype='<U20')]
 [array(['chordate'], dtype='<U8')]
 [array(['animal, animate being, beast, brute, creature, fauna'],
      dtype='<U52')]
 [array(['organism, being'], dtype='<U15')]
 [array(['living thing, animate thing'], dtype='<U27')]
 [array(['whole, unit'], dtype='<U11')]
 [array(['object, physical object'], dtype='<U23')]
 [array(['physical entity'], dtype='<U15')]
 [array(['entity'], dtype='<U6')]]",['small wild or domesticated web-footed broad-billed swimming bird usually having a depressed body and short legs'],['duck'],4
813,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],1.0,['duck shelter'],0.0,0,[],[],[],[],[],0
814,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],1.0,['ducks'],0.0,0,[],[],[],[],[],0
815,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],4.0,['dumbbell'],0.0,0,[],[],[],[],[],0
816,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],4.0,['dumbbells'],0.0,0,[],[],[],[],[],0
817,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],113.0,['dummy'],0.0,1,['dummy'],"['dummy. figure. model, simulation. representation. creation. artifact, artefact. whole, unit. object, physical object. physical entity. entity. ']","[[array(['dummy'], dtype='<U5')]
 [array(['figure'], dtype='<U6')]
 [array(['model, simulation'], dtype='<U17')]
 [array(['representation'], dtype='<U14')]
 [array(['creation'], dtype='<U8')]
 [array(['artifact, artefact'], dtype='<U18')]
 [array(['whole, unit'], dtype='<U11')]
 [array(['object, physical object'], dtype='<U23')]
 [array(['physical entity'], dtype='<U15')]
 [array(['entity'], dtype='<U6')]]",['a figure representing the human form'],['dummy'],0
818,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],12.0,['dune'],0.0,0,[],[],[],[],[],0
819,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],1.0,['duster'],0.0,0,[],[],[],[],[],0
820,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],1.0,['dustpan'],0.0,0,[],[],[],[],[],0
821,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],26.0,['dvd'],0.0,0,[],[],[],[],[],0
822,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],5.0,['dvd box'],0.0,0,[],[],[],[],[],0
823,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],1.0,['dvd boxes'],0.0,0,[],[],[],[],[],0
824,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],5.0,['dvd player'],0.0,0,[],[],[],[],[],0
825,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],1.0,['dvd players'],0.0,0,[],[],[],[],[],0
826,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],10.0,['dvds'],0.0,0,[],[],[],[],[],0
827,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],3.0,['dvds box'],0.0,0,[],[],[],[],[],0
828,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],1.0,['dvds rack'],0.0,0,[],[],[],[],[],0
829,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],8.0,['dye'],0.0,0,[],[],[],[],[],0
830,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],226.0,['ear'],0.8495575,1,['ear'],"['ear. sense organ, sensory receptor, receptor. organ. body part. part, piece. thing. physical entity. entity. ']","[[array(['ear'], dtype='<U3')]
 [array(['sense organ, sensory receptor, receptor'], dtype='<U39')]
 [array(['organ'], dtype='<U5')]
 [array(['body part'], dtype='<U9')]
 [array(['part, piece'], dtype='<U11')]
 [array(['thing'], dtype='<U5')]
 [array(['physical entity'], dtype='<U15')]
 [array(['entity'], dtype='<U6')]]",['the sense organ for hearing and equilibrium'],['ear'],36
831,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],110.0,['earmuffs'],1.0,1,['earmuff'],"['earmuff. covering. artifact, artefact. whole, unit. object, physical object. physical entity. entity. ']","[[array(['earmuff'], dtype='<U7')]
 [array(['covering'], dtype='<U8')]
 [array(['artifact, artefact'], dtype='<U18')]
 [array(['whole, unit'], dtype='<U11')]
 [array(['object, physical object'], dtype='<U23')]
 [array(['physical entity'], dtype='<U15')]
 [array(['entity'], dtype='<U6')]]",['either of a pair of ear coverings (usually connected by a headband) that are worn to keep the ears warm in cold weather'],['earmuff'],0
832,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],3.0,['earphones'],0.0,0,[],[],[],[],[],0
833,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],2.0,['earring'],0.0,0,[],[],[],[],[],0
834,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],19.0,['earrings'],0.0,0,[],[],[],[],[],0
835,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],1.0,['ears'],0.0,0,[],[],[],[],[],0
836,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],5.0,['earth'],0.0,0,[],[],[],[],[],0
837,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],2592.0,"['earth, ground']",0.0,1,"['earth, ground']","['earth, ground. material, stuff. substance. matter. physical entity. entity. ']","[[array(['earth, ground'], dtype='<U13')]
 [array(['material, stuff'], dtype='<U15')]
 [array(['substance'], dtype='<U9')]
 [array(['matter'], dtype='<U6')]
 [array(['physical entity'], dtype='<U15')]
 [array(['entity'], dtype='<U6')]]","['the loose soft material that makes up a large part of the land surface; ""they dug into the earth outside the church""']","['earth, ground']",7
838,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],128.0,['easel'],0.0,1,['easel'],"['easel. tripod. rack, stand. support. device. instrumentality, instrumentation. artifact, artefact. whole, unit. object, physical object. physical entity. entity. ']","[[array(['easel'], dtype='<U5')]
 [array(['tripod'], dtype='<U6')]
 [array(['rack, stand'], dtype='<U11')]
 [array(['support'], dtype='<U7')]
 [array(['device'], dtype='<U6')]
 [array(['instrumentality, instrumentation'], dtype='<U32')]
 [array(['artifact, artefact'], dtype='<U18')]
 [array(['whole, unit'], dtype='<U11')]
 [array(['object, physical object'], dtype='<U23')]
 [array(['physical entity'], dtype='<U15')]
 [array(['entity'], dtype='<U6')]]","[""an upright tripod for displaying something (usually an artist's canvas)""]",['easel'],4
839,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],21.0,['eaves'],0.47619048,0,[],[],[],[],[],0
840,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],7.0,['egg'],0.0,0,[],[],[],[],[],0
841,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],2.0,['eggs'],0.0,0,[],[],[],[],[],0
842,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],64.0,"['eiderdown, duvet, continental quilt']",0.0,1,"['eiderdown, duvet, continental quilt']","['eiderdown, duvet, continental quilt. quilt, comforter, comfort, puff. bedclothes, bed clothing, bedding. cloth covering. covering. artifact, artefact. whole, unit. object, physical object. physical entity. entity. ']","[[array(['eiderdown, duvet, continental quilt'], dtype='<U35')]
 [array(['quilt, comforter, comfort, puff'], dtype='<U31')]
 [array(['bedclothes, bed clothing, bedding'], dtype='<U33')]
 [array(['cloth covering'], dtype='<U14')]
 [array(['covering'], dtype='<U8')]
 [array(['artifact, artefact'], dtype='<U18')]
 [array(['whole, unit'], dtype='<U11')]
 [array(['object, physical object'], dtype='<U23')]
 [array(['physical entity'], dtype='<U15')]
 [array(['entity'], dtype='<U6')]]",['a soft quilt usually filled with the down of the eider'],"['eiderdown, duvet, continental quilt']",0
843,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],1.0,['electrical device'],0.0,0,[],[],[],[],[],0
844,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],1.0,['electrical substation'],0.0,0,[],[],[],[],[],0
845,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],3.0,['electricity box'],0.0,0,[],[],[],[],[],0
846,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],2.0,['electricity meter'],0.0,0,[],[],[],[],[],0
847,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],1.0,['electronic organ'],0.0,0,[],[],[],[],[],0
848,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],19.0,['elephant'],0.0,0,[],[],[],[],[],0
849,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],1.0,['elevator'],1.0,1,"['elevator, lift']","['elevator, lift. lifting device. device. instrumentality, instrumentation. artifact, artefact. whole, unit. object, physical object. physical entity. entity. ']","[[array(['elevator, lift'], dtype='<U14')]
 [array(['lifting device'], dtype='<U14')]
 [array(['device'], dtype='<U6')]
 [array(['instrumentality, instrumentation'], dtype='<U32')]
 [array(['artifact, artefact'], dtype='<U18')]
 [array(['whole, unit'], dtype='<U11')]
 [array(['object, physical object'], dtype='<U23')]
 [array(['physical entity'], dtype='<U15')]
 [array(['entity'], dtype='<U6')]]",['lifting device consisting of a platform or cage that is raised and lowered mechanically in a vertical shaft in order to move people from one floor to another in a building'],"['elevator, lift']",5
850,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],38.0,['elevator door'],0.0,0,[],[],[],[],[],0
851,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],8.0,['elevator doors'],0.0,0,[],[],[],[],[],0
852,[0. 0. 0. ... 0. 0. 0.],[1. 0. 0. ... 0. 0. 0.],57.0,"['elevator, lift']",0.0,1,"['elevator, lift']","['elevator, lift. lifting device. device. instrumentality, instrumentation. artifact, artefact. whole, unit. object, physical object. physical entity. entity. ']","[[array(['elevator, lift'], dtype='<U14')]
 [array(['lifting device'], dtype='<U14')]
 [array(['device'], dtype='<U6')]
 [array(['instrumentality, instrumentation'], dtype='<U32')]
 [array(['artifact, artefact'], dtype='<U18')]
 [array(['whole, unit'], dtype='<U11')]
 [array(['object, physical object'], dtype='<U23')]
 [array(['physical entity'], dtype='<U15')]
 [array(['entity'], dtype='<U6')]]",['lifting device consisting of a platform or cage that is raised and lowered mechanically in a vertical shaft in order to move people from one floor to another in a building'],"['elevator, lift']",5
853,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],1.0,['elliptical machine'],0.0,0,[],[],[],[],[],0
854,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],174.0,['embankment'],0.0,1,['embankment'],"['embankment. mound, hill. structure, construction. artifact, artefact. whole, unit. object, physical object. physical entity. entity. ']","[[array(['embankment'], dtype='<U10')]
 [array(['mound, hill'], dtype='<U11')]
 [array(['structure, construction'], dtype='<U23')]
 [array(['artifact, artefact'], dtype='<U18')]
 [array(['whole, unit'], dtype='<U11')]
 [array(['object, physical object'], dtype='<U23')]
 [array(['physical entity'], dtype='<U15')]
 [array(['entity'], dtype='<U6')]]",['a long artificial mound of stone or earth; built to hold back water or to support a road or as protection'],['embankment'],5
855,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],1.0,['ember'],0.0,0,[],[],[],[],[],0
856,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],18.0,['embrasure'],0.11111111,0,[],[],[],[],[],0
857,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],7.0,['engine'],0.0,0,[],[],[],[],[],0
858,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],107.0,['entrance'],1.0,1,"['entrance, entranceway, entryway, entry, entree']","['entrance, entranceway, entryway, entry, entree. access, approach. way. artifact, artefact. whole, unit. object, physical object. physical entity. entity. ']","[[array(['entrance, entranceway, entryway, entry, entree'], dtype='<U46')]
 [array(['access, approach'], dtype='<U16')]
 [array(['way'], dtype='<U3')]
 [array(['artifact, artefact'], dtype='<U18')]
 [array(['whole, unit'], dtype='<U11')]
 [array(['object, physical object'], dtype='<U23')]
 [array(['physical entity'], dtype='<U15')]
 [array(['entity'], dtype='<U6')]]","['something that provides access (to get in or get out); ""they waited at the entrance to the garden""; ""beggars waited just outside the entryway to the cathedral""']","['entrance, entranceway, entryway, entry, entree']",10
859,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],3.0,['entrance parking'],0.6666667,0,[],[],[],[],[],0
860,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],6.0,"['entrance, entranceway, entryway, entry, entree']",0.0,1,"['entrance, entranceway, entryway, entry, entree']","['entrance, entranceway, entryway, entry, entree. access, approach. way. artifact, artefact. whole, unit. object, physical object. physical entity. entity. ']","[[array(['entrance, entranceway, entryway, entry, entree'], dtype='<U46')]
 [array(['access, approach'], dtype='<U16')]
 [array(['way'], dtype='<U3')]
 [array(['artifact, artefact'], dtype='<U18')]
 [array(['whole, unit'], dtype='<U11')]
 [array(['object, physical object'], dtype='<U23')]
 [array(['physical entity'], dtype='<U15')]
 [array(['entity'], dtype='<U6')]]","['something that provides access (to get in or get out); ""they waited at the entrance to the garden""; ""beggars waited just outside the entryway to the cathedral""']","['entrance, entranceway, entryway, entry, entree']",10
861,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],15.0,['entry phone'],0.0,0,[],[],[],[],[],0
862,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],7.0,['envelope'],0.0,0,[],[],[],[],[],0
863,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],5.0,['envelopes'],0.0,0,[],[],[],[],[],0
864,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],0.0,['eplant'],0.0,0,[],[],[],[],[],0
865,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],2.0,['equestrian obstacle'],0.0,0,[],[],[],[],[],0
866,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],67.0,['equipment'],0.0,1,['equipment'],"['equipment. instrumentality, instrumentation. artifact, artefact. whole, unit. object, physical object. physical entity. entity. ']","[[array(['equipment'], dtype='<U9')]
 [array(['instrumentality, instrumentation'], dtype='<U32')]
 [array(['artifact, artefact'], dtype='<U18')]
 [array(['whole, unit'], dtype='<U11')]
 [array(['object, physical object'], dtype='<U23')]
 [array(['physical entity'], dtype='<U15')]
 [array(['entity'], dtype='<U6')]]",['an instrumentality needed for an undertaking or to perform a service'],['equipment'],48
867,[0. 0. 0. ... 0. 0. 0.],[1. 0. 0. ... 0. 0. 0.],86.0,"['escalator, moving staircase, moving stairway']",0.0,1,"['escalator, moving staircase, moving stairway']","['escalator, moving staircase, moving stairway. stairway, staircase. way. artifact, artefact. whole, unit. object, physical object. physical entity. entity. ']","[[array(['escalator, moving staircase, moving stairway'], dtype='<U44')]
 [array(['stairway, staircase'], dtype='<U19')]
 [array(['way'], dtype='<U3')]
 [array(['artifact, artefact'], dtype='<U18')]
 [array(['whole, unit'], dtype='<U11')]
 [array(['object, physical object'], dtype='<U23')]
 [array(['physical entity'], dtype='<U15')]
 [array(['entity'], dtype='<U6')]]",['a stairway whose steps move continuously on a circulating belt'],"['escalator, moving staircase, moving stairway']",0
868,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],2.0,['escarpment'],0.0,0,[],[],[],[],[],0
869,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],1.0,['estuary'],0.0,0,[],[],[],[],[],0
870,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],16.0,['excavator'],0.0,0,[],[],[],[],[],0
871,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],2.0,['exercise bench'],0.0,0,[],[],[],[],[],0
872,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],10.0,['exercise bike'],0.0,0,[],[],[],[],[],0
873,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],2.0,['exercise bikes'],0.0,0,[],[],[],[],[],0
874,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],1.0,['exercise machines'],0.0,0,[],[],[],[],[],0
875,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],3.0,['exhaust pipe'],1.0,0,[],[],[],[],[],0
876,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],84.0,['exhibitor'],0.0,0,[],[],[],[],[],0
877,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],1.0,['expedition'],0.0,0,[],[],[],[],[],0
878,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],1.0,['extension cord'],0.0,0,[],[],[],[],[],0
879,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],1.0,['external driver'],0.0,0,[],[],[],[],[],0
880,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],3.0,['external drivers'],0.0,0,[],[],[],[],[],0
881,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],17.0,['extractor fan'],0.0,0,[],[],[],[],[],0
882,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],2.0,['extractor pipe'],0.0,0,[],[],[],[],[],0
883,[0. 6. 0. ... 0. 0. 0.],[0. 6. 0. ... 0. 0. 0.],1227.0,['eye'],1.0,1,"['eye, oculus, optic']","['eye, oculus, optic. sense organ, sensory receptor, receptor. organ. body part. part, piece. thing. physical entity. entity. ']","[[array(['eye, oculus, optic'], dtype='<U18')]
 [array(['sense organ, sensory receptor, receptor'], dtype='<U39')]
 [array(['organ'], dtype='<U5')]
 [array(['body part'], dtype='<U9')]
 [array(['part, piece'], dtype='<U11')]
 [array(['thing'], dtype='<U5')]
 [array(['physical entity'], dtype='<U15')]
 [array(['entity'], dtype='<U6')]]",['the organ of sight'],"['eye, oculus, optic']",263
884,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],5.0,['eyebrow'],1.0,0,[],[],[],[],[],0
885,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],20.0,['eyeglasses'],0.0,0,[],[],[],[],[],0
886,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],28.0,['fabric'],0.25,0,[],[],[],[],[],0
887,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],1.0,['fabric softener'],0.0,0,[],[],[],[],[],0
888,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],72.0,"['fabric, cloth, material, textile']",0.0,1,"['fabric, cloth, material, textile']","['fabric, cloth, material, textile. artifact, artefact. whole, unit. object, physical object. physical entity. entity. ']","[[array(['fabric, cloth, material, textile'], dtype='<U32')]
 [array(['artifact, artefact'], dtype='<U18')]
 [array(['whole, unit'], dtype='<U11')]
 [array(['object, physical object'], dtype='<U23')]
 [array(['physical entity'], dtype='<U15')]
 [array(['entity'], dtype='<U6')]]","['artifact made by weaving or felting or knitting or crocheting natural or synthetic fibers; ""the fabric in the curtains was light and semitransparent""; ""woven cloth originated in Mesopotamia around 5000 BC""; ""she measured off enough material for a dress""']","['fabric, cloth, material, textile']",16
889,[0. 0. 1. ... 0. 0. 0.],[0. 0. 1. ... 0. 0. 0.],183.0,['face'],1.0,1,"['face, human face']","['face, human face. external body part. body part. part, piece. thing. physical entity. entity. ']","[[array(['face, human face'], dtype='<U16')]
 [array(['external body part'], dtype='<U18')]
 [array(['body part'], dtype='<U9')]
 [array(['part, piece'], dtype='<U11')]
 [array(['thing'], dtype='<U5')]
 [array(['physical entity'], dtype='<U15')]
 [array(['entity'], dtype='<U6')]]","['the front of the human head from the forehead to the chin and ear to ear; ""he washed his face""; ""I wish I had seen the look on his face when he got the news""']","['face, human face']",193
890,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],9.0,['factory'],0.0,0,[],[],[],[],[],0
891,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],1.0,['fairground'],0.0,0,[],[],[],[],[],0
892,[0. 0. 0. ... 0. 0. 0.],[0. 0. 0. ... 0. 0. 0.],15.0,['fairground ride'],0.0,0,[],[],[],[],[],0
